10115,1976,21,21,1,s,95,403,0
10116,1976,21,21,2,s,522,403,0
10117,1976,21,21,3,s,94,403,0
10118,1976,21,21,4,s,524,403,0
10119,1976,21,21,5,s,520,403,0
10120,1976,21,23,1,s,534,403,0
10121,1976,21,23,2,s,540,403,0
10122,1976,21,23,3,s,532,403,0
10123,1976,21,23,4,s,542,403,0
10124,1976,21,23,5,s,536,403,0
10125,1976,21,20,1,s,1864,403,0
10126,1976,21,20,2,s,1866,403,0
10127,1976,21,20,3,s,1862,403,0
10128,1976,21,20,4,s,1867,403,0
10129,1976,21,20,5,s,1865,403,0
10130,1976,23,23,1,s,97,403,0
10131,1976,23,23,2,s,523,403,0
10132,1976,23,23,3,s,96,403,0
10133,1976,23,23,4,s,525,403,0
10134,1976,23,23,5,s,521,403,0
10135,1976,23,21,1,s,535,403,0
10136,1976,23,21,2,s,541,403,0
10137,1976,23,21,3,s,533,403,0
10138,1976,23,21,4,s,543,403,0
10139,1976,23,21,5,s,537,403,0
10140,1976,23,20,1,s,37,403,0
10141,1976,23,20,2,s,80,403,0
10142,1976,23,20,3,s,15,403,0
10143,1976,23,20,4,s,82,403,0
10144,1976,23,20,5,s,76,403,0
10145,1976,20,20,1,s,412,403,0
10146,1976,20,20,2,s,414,403,0
10147,1976,20,20,3,s,410,403,0
10148,1976,20,20,4,s,415,403,0
10149,1976,20,20,5,s,413,403,0
10150,1976,20,21,1,s,1870,403,0
10151,1976,20,21,2,s,1872,403,0
10152,1976,20,21,3,s,1868,403,0
10153,1976,20,21,4,s,1873,403,0
10154,1976,20,21,5,s,1871,403,0
10155,1976,20,23,1,s,418,403,0
10156,1976,20,23,2,s,420,403,0
10157,1976,20,23,3,s,416,403,0
10158,1976,20,23,4,s,430,403,0
10159,1976,20,23,5,s,419,403,0
10160,1989,26,26,1,s,609,403,0
10161,1989,26,26,2,s,611,403,0
10162,1989,26,26,3,s,607,403,0
10163,1989,26,26,4,s,612,403,0
10164,1989,26,26,5,s,610,403,0
10165,2789,27,27,1,s,2799,403,0
10166,2789,27,27,2,s,2801,403,0
10167,2789,27,27,3,s,387,403,0
10168,2789,27,27,4,s,2802,403,0
10169,2789,27,27,5,s,2800,403,0
10170,1991,30,30,1,s,645,403,0
10171,1991,30,30,2,s,647,403,0
