11090,5000,603,603,5,spg_box_quad_leaf_consistent
11091,5008,604,604,1,spg_bbox_quad_config
11092,5008,604,604,2,spg_box_quad_choose
11093,5008,604,604,3,spg_box_quad_picksplit
11094,5008,604,604,4,spg_box_quad_inner_consistent
11095,5008,604,604,5,spg_box_quad_leaf_consistent
11096,5008,604,604,6,spg_poly_quad_compress
11097,4064,17,17,1,brin_minmax_opcinfo
11098,4064,17,17,2,brin_minmax_add_value
11099,4064,17,17,3,brin_minmax_consistent
11100,4064,17,17,4,brin_minmax_union
11101,4062,18,18,1,brin_minmax_opcinfo
11102,4062,18,18,2,brin_minmax_add_value
11103,4062,18,18,3,brin_minmax_consistent
11104,4062,18,18,4,brin_minmax_union
11105,4065,19,19,1,brin_minmax_opcinfo
11106,4065,19,19,2,brin_minmax_add_value
11107,4065,19,19,3,brin_minmax_consistent
11108,4065,19,19,4,brin_minmax_union
11109,4054,20,20,1,brin_minmax_opcinfo
11110,4054,20,20,2,brin_minmax_add_value
11111,4054,20,20,3,brin_minmax_consistent
11112,4054,20,20,4,brin_minmax_union
11113,4054,20,21,1,brin_minmax_opcinfo
11114,4054,20,21,2,brin_minmax_add_value
11115,4054,20,21,3,brin_minmax_consistent
11116,4054,20,21,4,brin_minmax_union
11117,4054,20,23,1,brin_minmax_opcinfo
11118,4054,20,23,2,brin_minmax_add_value
11119,4054,20,23,3,brin_minmax_consistent
11120,4054,20,23,4,brin_minmax_union
11121,4054,21,21,1,brin_minmax_opcinfo
11122,4054,21,21,2,brin_minmax_add_value
11123,4054,21,21,3,brin_minmax_consistent
11124,4054,21,21,4,brin_minmax_union
11125,4054,21,20,1,brin_minmax_opcinfo
11126,4054,21,20,2,brin_minmax_add_value
11127,4054,21,20,3,brin_minmax_consistent
11128,4054,21,20,4,brin_minmax_union
11129,4054,21,23,1,brin_minmax_opcinfo
11130,4054,21,23,2,brin_minmax_add_value
11131,4054,21,23,3,brin_minmax_consistent
11132,4054,21,23,4,brin_minmax_union
11133,4054,23,23,1,brin_minmax_opcinfo
11134,4054,23,23,2,brin_minmax_add_value
11135,4054,23,23,3,brin_minmax_consistent
11136,4054,23,23,4,brin_minmax_union
11137,4054,23,20,1,brin_minmax_opcinfo
11138,4054,23,20,2,brin_minmax_add_value
11139,4054,23,20,3,brin_minmax_consistent
11140,4054,23,20,4,brin_minmax_union
11141,4054,23,21,1,brin_minmax_opcinfo
11142,4054,23,21,2,brin_minmax_add_value
11143,4054,23,21,3,brin_minmax_consistent
11144,4054,23,21,4,brin_minmax_union
11145,4056,25,25,1,brin_minmax_opcinfo
11146,4056,25,25,2,brin_minmax_add_value
11147,4056,25,25,3,brin_minmax_consistent
11148,4056,25,25,4,brin_minmax_union
11149,4068,26,26,1,brin_minmax_opcinfo
11150,4068,26,26,2,brin_minmax_add_value
11151,4068,26,26,3,brin_minmax_consistent
11152,4068,26,26,4,brin_minmax_union
11153,4069,27,27,1,brin_minmax_opcinfo
11154,4069,27,27,2,brin_minmax_add_value
11155,4069,27,27,3,brin_minmax_consistent
11156,4069,27,27,4,brin_minmax_union
11157,4070,700,700,1,brin_minmax_opcinfo
11158,4070,700,700,2,brin_minmax_add_value
11159,4070,700,700,3,brin_minmax_consistent
11160,4070,700,700,4,brin_minmax_union
11161,4070,700,701,1,brin_minmax_opcinfo
11162,4070,700,701,2,brin_minmax_add_value
11163,4070,700,701,3,brin_minmax_consistent
11164,4070,700,701,4,brin_minmax_union
11165,4070,701,701,1,brin_minmax_opcinfo
11166,4070,701,701,2,brin_minmax_add_value
11167,4070,701,701,3,brin_minmax_consistent
11168,4070,701,701,4,brin_minmax_union
11169,4070,701,700,1,brin_minmax_opcinfo
11170,4070,701,700,2,brin_minmax_add_value
11171,4070,701,700,3,brin_minmax_consistent
11172,4070,701,700,4,brin_minmax_union
11173,4074,829,829,1,brin_minmax_opcinfo
11174,4074,829,829,2,brin_minmax_add_value
11175,4074,829,829,3,brin_minmax_consistent
11176,4074,829,829,4,brin_minmax_union
11177,4109,774,774,1,brin_minmax_opcinfo
11178,4109,774,774,2,brin_minmax_add_value
11179,4109,774,774,3,brin_minmax_consistent
11180,4109,774,774,4,brin_minmax_union
11181,4075,869,869,1,brin_minmax_opcinfo
11182,4075,869,869,2,brin_minmax_add_value
11183,4075,869,869,3,brin_minmax_consistent
11184,4075,869,869,4,brin_minmax_union
11185,4102,869,869,1,brin_inclusion_opcinfo
11186,4102,869,869,2,brin_inclusion_add_value
11187,4102,869,869,3,brin_inclusion_consistent
11188,4102,869,869,4,brin_inclusion_union
11189,4102,869,869,11,inet_merge
11190,4102,869,869,12,inet_same_family
11191,4102,869,869,13,network_supeq
11192,4076,1042,1042,1,brin_minmax_opcinfo
11193,4076,1042,1042,2,brin_minmax_add_value
11194,4076,1042,1042,3,brin_minmax_consistent
11195,4076,1042,1042,4,brin_minmax_union
11196,4077,1083,1083,1,brin_minmax_opcinfo
11197,4077,1083,1083,2,brin_minmax_add_value
11198,4077,1083,1083,3,brin_minmax_consistent
11199,4077,1083,1083,4,brin_minmax_union
11200,4059,1114,1114,1,brin_minmax_opcinfo
11201,4059,1114,1114,2,brin_minmax_add_value
11202,4059,1114,1114,3,brin_minmax_consistent
11203,4059,1114,1114,4,brin_minmax_union
11204,4059,1114,1184,1,brin_minmax_opcinfo
11205,4059,1114,1184,2,brin_minmax_add_value
11206,4059,1114,1184,3,brin_minmax_consistent
11207,4059,1114,1184,4,brin_minmax_union
11208,4059,1114,1082,1,brin_minmax_opcinfo
11209,4059,1114,1082,2,brin_minmax_add_value
11210,4059,1114,1082,3,brin_minmax_consistent
11211,4059,1114,1082,4,brin_minmax_union
11212,4059,1184,1184,1,brin_minmax_opcinfo
11213,4059,1184,1184,2,brin_minmax_add_value
11214,4059,1184,1184,3,brin_minmax_consistent
11215,4059,1184,1184,4,brin_minmax_union
11216,4059,1184,1114,1,brin_minmax_opcinfo
11217,4059,1184,1114,2,brin_minmax_add_value
11218,4059,1184,1114,3,brin_minmax_consistent
11219,4059,1184,1114,4,brin_minmax_union
11220,4059,1184,1082,1,brin_minmax_opcinfo
11221,4059,1184,1082,2,brin_minmax_add_value
11222,4059,1184,1082,3,brin_minmax_consistent
11223,4059,1184,1082,4,brin_minmax_union
11224,4059,1082,1082,1,brin_minmax_opcinfo
11225,4059,1082,1082,2,brin_minmax_add_value
11226,4059,1082,1082,3,brin_minmax_consistent
11227,4059,1082,1082,4,brin_minmax_union
11228,4059,1082,1114,1,brin_minmax_opcinfo
11229,4059,1082,1114,2,brin_minmax_add_value
11230,4059,1082,1114,3,brin_minmax_consistent
11231,4059,1082,1114,4,brin_minmax_union
11232,4059,1082,1184,1,brin_minmax_opcinfo
11233,4059,1082,1184,2,brin_minmax_add_value
11234,4059,1082,1184,3,brin_minmax_consistent
11235,4059,1082,1184,4,brin_minmax_union
11236,4078,1186,1186,1,brin_minmax_opcinfo
11237,4078,1186,1186,2,brin_minmax_add_value
11238,4078,1186,1186,3,brin_minmax_consistent
11239,4078,1186,1186,4,brin_minmax_union
11240,4058,1266,1266,1,brin_minmax_opcinfo
11241,4058,1266,1266,2,brin_minmax_add_value
11242,4058,1266,1266,3,brin_minmax_consistent
11243,4058,1266,1266,4,brin_minmax_union
11244,4079,1560,1560,1,brin_minmax_opcinfo
11245,4079,1560,1560,2,brin_minmax_add_value
11246,4079,1560,1560,3,brin_minmax_consistent
11247,4079,1560,1560,4,brin_minmax_union
11248,4080,1562,1562,1,brin_minmax_opcinfo
11249,4080,1562,1562,2,brin_minmax_add_value
11250,4080,1562,1562,3,brin_minmax_consistent
11251,4080,1562,1562,4,brin_minmax_union
11252,4055,1700,1700,1,brin_minmax_opcinfo
11253,4055,1700,1700,2,brin_minmax_add_value
11254,4055,1700,1700,3,brin_minmax_consistent
11255,4055,1700,1700,4,brin_minmax_union
11256,4081,2950,2950,1,brin_minmax_opcinfo
11257,4081,2950,2950,2,brin_minmax_add_value
11258,4081,2950,2950,3,brin_minmax_consistent
11259,4081,2950,2950,4,brin_minmax_union
11260,4103,3831,3831,1,brin_inclusion_opcinfo
11261,4103,3831,3831,2,brin_inclusion_add_value
11262,4103,3831,3831,3,brin_inclusion_consistent
11263,4103,3831,3831,4,brin_inclusion_union
11264,4103,3831,3831,11,range_merge
11265,4103,3831,3831,13,range_contains
11266,4103,3831,3831,14,isempty
11267,4082,3220,3220,1,brin_minmax_opcinfo
11268,4082,3220,3220,2,brin_minmax_add_value
11269,4082,3220,3220,3,brin_minmax_consistent
11270,4082,3220,3220,4,brin_minmax_union
11271,4104,603,603,1,brin_inclusion_opcinfo
11272,4104,603,603,2,brin_inclusion_add_value
11273,4104,603,603,3,brin_inclusion_consistent
11274,4104,603,603,4,brin_inclusion_union
11275,4104,603,603,11,bound_box
11276,4104,603,603,13,box_contain
