100,default,11,10,d,true,-1,"","",
950,C,11,10,c,true,-1,C,C,
951,POSIX,11,10,c,true,-1,POSIX,POSIX,
12326,ucs_basic,11,10,c,true,6,C,C,
12327,und-x-icu,11,10,i,true,-1,"","",137.51
12328,af-x-icu,11,10,i,true,-1,af,af,137.51.25
12329,af-NA-x-icu,11,10,i,true,-1,af_NA,af_NA,137.51.25
12330,af-ZA-x-icu,11,10,i,true,-1,af_ZA,af_ZA,137.51.25
12331,agq-x-icu,11,10,i,true,-1,agq,agq,137.51.25
12332,agq-CM-x-icu,11,10,i,true,-1,agq_CM,agq_CM,137.51.25
12333,ak-x-icu,11,10,i,true,-1,ak,ak,137.51.25
12334,ak-GH-x-icu,11,10,i,true,-1,ak_GH,ak_GH,137.51.25
12335,am-x-icu,11,10,i,true,-1,am,am,137.51.25
12336,am-ET-x-icu,11,10,i,true,-1,am_ET,am_ET,137.51.25
12337,ar-x-icu,11,10,i,true,-1,ar,ar,137.51.25
12338,ar-001-x-icu,11,10,i,true,-1,ar_001,ar_001,137.51.25
12339,ar-AE-x-icu,11,10,i,true,-1,ar_AE,ar_AE,137.51.25
12340,ar-BH-x-icu,11,10,i,true,-1,ar_BH,ar_BH,137.51.25
12341,ar-DJ-x-icu,11,10,i,true,-1,ar_DJ,ar_DJ,137.51.25
12342,ar-DZ-x-icu,11,10,i,true,-1,ar_DZ,ar_DZ,137.51.25
12343,ar-EG-x-icu,11,10,i,true,-1,ar_EG,ar_EG,137.51.25
12344,ar-EH-x-icu,11,10,i,true,-1,ar_EH,ar_EH,137.51.25
12345,ar-ER-x-icu,11,10,i,true,-1,ar_ER,ar_ER,137.51.25
12346,ar-IL-x-icu,11,10,i,true,-1,ar_IL,ar_IL,137.51.25
12347,ar-IQ-x-icu,11,10,i,true,-1,ar_IQ,ar_IQ,137.51.25
12348,ar-JO-x-icu,11,10,i,true,-1,ar_JO,ar_JO,137.51.25
12349,ar-KM-x-icu,11,10,i,true,-1,ar_KM,ar_KM,137.51.25
12350,ar-KW-x-icu,11,10,i,true,-1,ar_KW,ar_KW,137.51.25
12351,ar-LB-x-icu,11,10,i,true,-1,ar_LB,ar_LB,137.51.25
12352,ar-LY-x-icu,11,10,i,true,-1,ar_LY,ar_LY,137.51.25
12353,ar-MA-x-icu,11,10,i,true,-1,ar_MA,ar_MA,137.51.25
12354,ar-MR-x-icu,11,10,i,true,-1,ar_MR,ar_MR,137.51.25
12355,ar-OM-x-icu,11,10,i,true,-1,ar_OM,ar_OM,137.51.25
