79,nameregexeq,11,10,12,1,0,0,textregexeq_support,f,false,false,true,false,i,s,2,0,16,19 25,,,,,,nameregexeq,,,
1252,nameregexne,11,10,12,1,0,0,-,f,false,false,true,false,i,s,2,0,16,19 25,,,,,,nameregexne,,,
1254,textregexeq,11,10,12,1,0,0,textregexeq_support,f,false,false,true,false,i,s,2,0,16,25 25,,,,,,textregexeq,,,
1256,textregexne,11,10,12,1,0,0,-,f,false,false,true,false,i,s,2,0,16,25 25,,,,,,textregexne,,,
1364,textregexeq_support,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,2281,2281,,,,,,textregexeq_support,,,
1257,textlen,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,23,25,,,,,,textlen,,,
1258,textcat,11,10,12,1,0,0,-,f,false,false,true,false,i,s,2,0,25,25 25,,,,,,textcat,,,
84,boolne,11,10,12,1,0,0,-,f,false,true,true,false,i,s,2,0,16,16 16,,,,,,boolne,,,
89,version,11,10,12,1,0,0,-,f,false,false,true,false,s,s,0,0,25,"",,,,,,pgsql_version,,,
86,pg_ddl_command_in,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,32,2275,,,,,,pg_ddl_command_in,,,
87,pg_ddl_command_out,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,2275,32,,,,,,pg_ddl_command_out,,,
88,pg_ddl_command_recv,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,32,2281,,,,,,pg_ddl_command_recv,,,
90,pg_ddl_command_send,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,17,32,,,,,,pg_ddl_command_send,,,
101,eqsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,eqsel,,,
102,neqsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,neqsel,,,
103,scalarltsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,scalarltsel,,,
104,scalargtsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,scalargtsel,,,
105,eqjoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,eqjoinsel,,,
106,neqjoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,neqjoinsel,,,
107,scalarltjoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalarltjoinsel,,,
108,scalargtjoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalargtjoinsel,,,
336,scalarlesel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,scalarlesel,,,
337,scalargesel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,4,0,701,2281 26 2281 23,,,,,,scalargesel,,,
386,scalarlejoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalarlejoinsel,,,
398,scalargejoinsel,11,10,12,1,0,0,-,f,false,false,true,false,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalargejoinsel,,,
109,unknownin,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,705,2275,,,,,,unknownin,,,
110,unknownout,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,2275,705,,,,,,unknownout,,,
111,numeric_fac,11,10,12,1,0,0,-,f,false,false,true,false,i,s,1,0,1700,20,,,,,,numeric_fac,,,
