plpythonu,1.0,false,true,false,pg_catalog,,PL/PythonU untrusted procedural language
pltcl,1.0,false,false,false,pg_catalog,,PL/Tcl procedural language
pltclu,1.0,false,true,false,pg_catalog,,PL/TclU untrusted procedural language
postgres_fdw,1.0,false,true,true,,,foreign-data wrapper for remote PostgreSQL servers
refint,1.0,false,true,true,,,functions for implementing referential integrity (obsolete)
seg,1.1,false,true,true,,,data type for representing line segments or floating-point intervals
seg,1.2,false,true,true,,,data type for representing line segments or floating-point intervals
seg,1.3,false,true,true,,,data type for representing line segments or floating-point intervals
sslinfo,1.2,false,true,true,,,information about SSL certificates
tablefunc,1.0,false,true,true,,,"functions that manipulate whole tables, including crosstab"
tcn,1.0,false,true,true,,,Triggered change notifications
test_bloomfilter,1.0,false,true,true,,,Test code for Bloom filter library
test_ext1,1.0,false,true,false,test_ext1,"{test_ext2,test_ext4}",Test extension 1
test_ext2,1.0,false,true,true,,"{test_ext3,test_ext5}",Test extension 2
test_ext3,1.0,false,true,true,,,Test extension 3
test_ext4,1.0,false,true,true,,{test_ext5},Test extension 4
test_ext5,1.0,false,true,true,,,Test extension 5
test_ext6,1.0,false,true,false,test_ext6,,test_ext6
test_ext7,1.0,false,true,false,public,,Test extension 7
test_ext7,2.0,false,true,false,public,,Test extension 7
test_ext8,1.0,false,true,false,public,,Test extension 8
test_ext_cyclic1,1.0,false,true,true,,{test_ext_cyclic2},Test extension cyclic 1
test_ext_cyclic2,1.0,false,true,true,,{test_ext_cyclic1},Test extension cyclic 2
test_integerset,1.0,false,true,true,,,Test code for integerset
test_pg_dump,1.0,false,true,true,,,Test pg_dump with an extension
test_predtest,1.0,false,true,true,,,Test code for optimizer/util/predtest.c
test_rbtree,1.0,false,true,true,,,Test code for red-black tree library
tsm_system_rows,1.0,false,true,true,,,TABLESAMPLE method which accepts number of rows as a limit
tsm_system_time,1.0,false,true,true,,,TABLESAMPLE method which accepts time in milliseconds as a limit
unaccent,1.1,false,true,true,,,text search dictionary that removes accents
uuid-ossp,1.1,false,true,true,,,generate universally unique identifiers (UUIDs)
xml2,1.1,false,true,false,,,XPath querying and XSLT
